"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"398","The democratic debate is on tonight. The only thing that would make this watchable is if they all pull a Swalwell a… https://t.co/2gxDbpK3UL",FALSE,3,NA,2019-11-20 23:55:40,TRUE,NA,"1197302519946452993",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PixiWonderQuinn",1,FALSE,FALSE,NA,NA
"399","RT @bourgeoisalien: woah...didn't know Mayo Pete was half black

<U+0001F602>

#DemDebate https://t.co/0vtYKOoltK https://t.co/GN8lx9mtIN",FALSE,0,NA,2019-11-20 23:55:39,FALSE,NA,"1197302516020645888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarbaraLNewsome",19,TRUE,FALSE,NA,NA
"400","RT @RBReich: In case anyone (everyone) forgot, the fifth #DemDebate is tonight.

Cut through the post-debate punditry &amp; tune in tmrw @ 1pm…",FALSE,0,NA,2019-11-20 23:55:38,FALSE,NA,"1197302513738878976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pduetswithBabs",53,TRUE,FALSE,NA,NA
"401","RT @SayNo2SocialMed: Do you want a random bureaucrat dictating what doctor to see and if you can get medication? That’s what’ll happen unde…",FALSE,0,NA,2019-11-20 23:55:36,FALSE,NA,"1197302504356241408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Denise75384378",112,TRUE,FALSE,NA,NA
"402","RT @MSNBC: @TheBeatWithAri @hardball @allinwithchris @AriMelber @washingtonpost Join us tonight at 9 p.m. ET as we live-gif the #DemDebate…",FALSE,0,NA,2019-11-20 23:55:35,FALSE,NA,"1197302499188903936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MicahGrimes",19,TRUE,FALSE,NA,NA
"403","RT @PagetKagy: Hey #YangGang, we're kicking off debate day with why we #EndorseAndrewYang! I endorse @AndrewYang because he's the only cand…",FALSE,0,NA,2019-11-20 23:55:35,FALSE,NA,"1197302499041890304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Big_Bacon31",713,TRUE,FALSE,NA,NA
"404","RT @tylergarret2: Hey #TeamPete,

Remember when we made Pete trend nationally on a random day?

When you tweet about Pete tonight make sure…",FALSE,0,NA,2019-11-20 23:55:35,FALSE,NA,"1197302498769297408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","indigogeek",130,TRUE,FALSE,NA,NA
"405","RT @NYDailyNews: @harrysiegel #DemDebate Round 4 recap:

• Biden defend his son, marked Trump's ""corruption""
• Warren, a top-polling candid…",FALSE,0,NA,2019-11-20 23:55:34,FALSE,NA,"1197302495434944513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aschettino",4,TRUE,FALSE,NA,NA
"406","Work and family issues like #paidleave and #equalpay matter to voters! We hope to see discussions of these issues i… https://t.co/2mWIURFtRP",FALSE,5,NA,2019-11-20 23:55:33,TRUE,NA,"1197302490347266054",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ABetterBalance",1,FALSE,FALSE,NA,NA
"407","RT @AmeshiaCross: I think @PeteButtigieg has prepared for this night since he announced his candidacy for president. His campaign staff has…",FALSE,0,NA,2019-11-20 23:55:32,FALSE,NA,"1197302485997760513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chadlynchNE",210,TRUE,FALSE,NA,NA
