"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1209","@msnbc this needs to be discussed in the next #DemocraticDebate",FALSE,0,"NikaciaS",2019-12-11 15:46:40,FALSE,"1204787706947153930","1204789606891294722","333680725","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NikaciaS",0,FALSE,FALSE,NA,NA
"1210","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:44:57,FALSE,NA,"1204789173191946240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","treemccue",529,TRUE,FALSE,NA,NA
"1211","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:42:31,FALSE,NA,"1204788560223752192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vvvoltt",529,TRUE,FALSE,NA,NA
"1212","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:32:01,FALSE,NA,"1204785917317263369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sartech80",529,TRUE,FALSE,NA,NA
"1213","Get ready for another TAX ! Gas tax big hike coming soon.  Thank who else ? #DemocraticDebate #Progressives… https://t.co/TpEXbMwCJj",FALSE,0,NA,2019-12-11 15:27:49,TRUE,NA,"1204784862659526661",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thinkpainting",0,FALSE,FALSE,NA,NA
"1214","RT @steinhauserNH1: 2020 Watch-New: @AndrewYang stands at 4% in a new @QuinnipiacPoll - that means he's qualified for next week's 6th round…",FALSE,0,NA,2019-12-11 15:16:41,FALSE,NA,"1204782058238857217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hahahharley",77,TRUE,FALSE,NA,NA
"1215","RT @HadahiiliYazhi: We just crossed the 500K mark <U+0001F64C> let’s get to a million by tomorrow! #bagsignal #yang2020 #YangTheGOAT #DemocraticDebate…",FALSE,0,NA,2019-12-11 15:14:35,FALSE,NA,"1204781530641522692",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","H2onions",11,TRUE,FALSE,NA,NA
"1216","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:09:27,FALSE,NA,"1204780239794167813",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","annamunseykano",529,TRUE,FALSE,NA,NA
"1217","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:05:59,FALSE,NA,"1204779366544289792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JW42078392",529,TRUE,FALSE,NA,NA
"1218","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:05:31,FALSE,NA,"1204779251167383552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mithraditesda6",529,TRUE,FALSE,NA,NA
"1219","Thanks for recognizing my effort.  We stand united with the #UBIcaucus! : <U+0001F64F>  Full version coming soon, check back o… https://t.co/vDBuD3o0oi",FALSE,3,NA,2019-12-11 15:04:13,TRUE,NA,"1204778921146716160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kp_colussi",0,FALSE,FALSE,NA,NA
"1220","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 15:03:49,FALSE,NA,"1204778820428951552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B_Ham_WA",529,TRUE,FALSE,NA,NA
"1221","RT @JaxYangGang: I spy a 4%!!! #DemocraticDebate  @andrewyang https://t.co/ykyHwbHtbn",FALSE,0,NA,2019-12-11 15:02:21,FALSE,NA,"1204778454065004545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StevenE84348906",1,TRUE,FALSE,NA,NA
"1222","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:54:56,FALSE,NA,"1204776585758478336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GangZiggy",529,TRUE,FALSE,NA,NA
"1223","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:51:28,FALSE,NA,"1204775712059613184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scott_lau",529,TRUE,FALSE,NA,NA
"1224","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:51:03,FALSE,NA,"1204775609433513984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rippapotomos",529,TRUE,FALSE,NA,NA
"1225","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:50:56,FALSE,NA,"1204775577841999873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Concern82114112",529,TRUE,FALSE,NA,NA
"1226","Yang Qualifies! - Ep. 21 episode of 2020 Central
https://t.co/rQhnaH7K3b

#DemocraticDebate #2020Election @AndrewYang #podcasts #podcast",FALSE,3,NA,2019-12-11 14:50:18,FALSE,NA,"1204775418269773824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alwseminoles",0,FALSE,FALSE,NA,NA
"1227","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:49:27,FALSE,NA,"1204775204725153800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tony240sx1",529,TRUE,FALSE,NA,NA
"1228","RT @Elex_Michaelson: .@AndrewYang qualified for the #DemocraticDebate in Los Angeles next week. 

Think about it: Several senators and gove…",FALSE,0,NA,2019-12-11 14:47:58,FALSE,NA,"1204774834246430720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhilG142857",529,TRUE,FALSE,NA,NA
